State 1,State 2,Year,Gender,Age Group,Type of Area,Literacy Rate (%)
Andhra,Pradesh,2002,Male,35-44,Rural,"83.13"
Andhra,Pradesh,2002,Male,45-54,Urban,"65.59"
Andhra,Pradesh,2002,Male,45-54,Rural,"76.0"
Andhra,Pradesh,2002,Male,55+,Urban,"77.34"
Andhra,Pradesh,2002,Male,55+,Rural,"59.24"
Andhra,Pradesh,2002,Female,15-24,Urban,"98.48"
Andhra,Pradesh,2002,Female,15-24,Rural,"88.76"
Andhra,Pradesh,2002,Female,25-34,Urban,"96.97"
Andhra,Pradesh,2002,Female,25-34,Rural,"94.74"
Andhra,Pradesh,2002,Female,35-44,Urban,"79.89"
Andhra,Pradesh,2002,Female,35-44,Rural,"96.09"
Andhra,Pradesh,2002,Female,45-54,Urban,"54.42"
Andhra,Pradesh,2002,Female,45-54,Rural,"59.8"
Andhra,Pradesh,2002,Female,55+,Urban,"52.26"
Andhra,Pradesh,2002,Female,55+,Rural,"66.27"
Andhra,Pradesh,2003,Male,15-24,Urban,"69.43"
Andhra,Pradesh,2003,Male,15-24,Rural,"63.57"
Andhra,Pradesh,2003,Male,25-34,Urban,"91.44"
Andhra,Pradesh,2003,Male,25-34,Rural,"67.84"
Andhra,Pradesh,2003,Male,35-44,Urban,"64.05"
Andhra,Pradesh,2003,Male,35-44,Rural,"77.13"
Andhra,Pradesh,2003,Male,45-54,Urban,"57.05"
Andhra,Pradesh,2003,Male,45-54,Rural,"90.11"
Andhra,Pradesh,2003,Male,55+,Urban,"53.73"
Andhra,Pradesh,2003,Male,55+,Rural,"99.34"
Andhra,Pradesh,2003,Female,15-24,Urban,"88.61"
Andhra,Pradesh,2003,Female,15-24,Rural,"59.94"
Andhra,Pradesh,2003,Female,25-34,Urban,"50.28"
Andhra,Pradesh,2003,Female,25-34,Rural,"90.77"
Andhra,Pradesh,2003,Female,35-44,Urban,"85.34"
Andhra,Pradesh,2003,Female,35-44,Rural,"86.45"
Andhra,Pradesh,2003,Female,45-54,Urban,"88.56"
Andhra,Pradesh,2003,Female,45-54,Rural,"53.7"
Andhra,Pradesh,2003,Female,55+,Urban,"67.92"
Andhra,Pradesh,2003,Female,55+,Rural,"55.79"
Andhra,Pradesh,2004,Male,15-24,Urban,"93.16"
Andhra,Pradesh,2004,Male,15-24,Rural,"81.16"
Andhra,Pradesh,2004,Male,25-34,Urban,"66.54"
Andhra,Pradesh,2004,Male,25-34,Rural,"53.18"
Andhra,Pradesh,2004,Male,35-44,Urban,"65.55"
Andhra,Pradesh,2004,Male,35-44,Rural,"66.26"
Andhra,Pradesh,2004,Male,45-54,Urban,"86.48"
Andhra,Pradesh,2004,Male,45-54,Rural,"81.88"
Andhra,Pradesh,2004,Male,55+,Urban,"94.36"
Andhra,Pradesh,2004,Male,55+,Rural,"73.61"
Andhra,Pradesh,2004,Female,15-24,Urban,"55.98"
Andhra,Pradesh,2004,Female,15-24,Rural,"85.66"
Andhra,Pradesh,2004,Female,25-34,Urban,"88.04"
Andhra,Pradesh,2004,Female,25-34,Rural,"78.06"
Andhra,Pradesh,2004,Female,35-44,Urban,"88.55"
Andhra,Pradesh,2004,Female,35-44,Rural,"74.69"
Andhra,Pradesh,2004,Female,45-54,Urban,"76.14"
Andhra,Pradesh,2004,Female,45-54,Rural,"71.38"
Andhra,Pradesh,2004,Female,55+,Urban,"51.27"
Andhra,Pradesh,2004,Female,55+,Rural,"55.39"
Andhra,Pradesh,2005,Male,15-24,Urban,"51.57"
Andhra,Pradesh,2005,Male,15-24,Rural,"81.82"
Andhra,Pradesh,2005,Male,25-34,Urban,"65.72"
Andhra,Pradesh,2005,Male,25-34,Rural,"75.43"
Andhra,Pradesh,2005,Male,35-44,Urban,"95.38"
Andhra,Pradesh,2005,Male,35-44,Rural,"62.46"
Andhra,Pradesh,2005,Male,45-54,Urban,"70.52"
Andhra,Pradesh,2005,Male,45-54,Rural,"87.78"
Andhra,Pradesh,2005,Male,55+,Urban,"61.44"
Andhra,Pradesh,2005,Male,55+,Rural,"53.85"
Andhra,Pradesh,2005,Female,15-24,Urban,"64.49"
Andhra,Pradesh,2005,Female,15-24,Rural,"58.06"
Andhra,Pradesh,2005,Female,25-34,Urban,"96.48"
Andhra,Pradesh,2005,Female,25-34,Rural,"90.41"
Andhra,Pradesh,2005,Female,35-44,Urban,"81.67"
Andhra,Pradesh,2005,Female,35-44,Rural,"93.57"
Andhra,Pradesh,2005,Female,45-54,Urban,"90.18"
Andhra,Pradesh,2005,Female,45-54,Rural,"59.33"
Andhra,Pradesh,2005,Female,55+,Urban,"94.63"
Andhra,Pradesh,2005,Female,55+,Rural,"76.97"
Andhra,Pradesh,2006,Male,15-24,Urban,"90.37"
Andhra,Pradesh,2006,Male,15-24,Rural,"94.8"
Andhra,Pradesh,2006,Male,25-34,Urban,"65.9"
Andhra,Pradesh,2006,Male,25-34,Rural,"55.5"
Andhra,Pradesh,2006,Male,35-44,Urban,"61.4"
Andhra,Pradesh,2006,Male,35-44,Rural,"71.36"
Andhra,Pradesh,2006,Male,45-54,Urban,"90.9"
Andhra,Pradesh,2006,Male,45-54,Rural,"93.04"
Andhra,Pradesh,2006,Male,55+,Urban,"50.35"
Andhra,Pradesh,2006,Male,55+,Rural,"75.54"
Andhra,Pradesh,2006,Female,15-24,Urban,"70.87"
Andhra,Pradesh,2006,Female,15-24,Rural,"61.11"
Andhra,Pradesh,2006,Female,25-34,Urban,"55.99"
Andhra,Pradesh,2006,Female,25-34,Rural,"66.88"
Andhra,Pradesh,2006,Female,35-44,Urban,"97.15"
Andhra,Pradesh,2006,Female,35-44,Rural,"66.16"
Andhra,Pradesh,2006,Female,45-54,Urban,"75.94"
Andhra,Pradesh,2006,Female,45-54,Rural,"85.15"
Andhra,Pradesh,2006,Female,55+,Urban,"68.18"
Andhra,Pradesh,2006,Female,55+,Rural,"98.59"
Andhra,Pradesh,2007,Male,15-24,Urban,"98.12"
Andhra,Pradesh,2007,Male,15-24,Rural,"62.59"
Andhra,Pradesh,2007,Male,25-34,Urban,"74.86"
Andhra,Pradesh,2007,Male,25-34,Rural,"65.04"
Andhra,Pradesh,2007,Male,35-44,Urban,"64.24"
Andhra,Pradesh,2007,Male,35-44,Rural,"51.84"
Andhra,Pradesh,2007,Male,45-54,Urban,"80.48"
Andhra,Pradesh,2007,Male,45-54,Rural,"75.13"
Andhra,Pradesh,2007,Male,55+,Urban,"52.57"
Andhra,Pradesh,2007,Male,55+,Rural,"63.93"
Andhra,Pradesh,2007,Female,15-24,Urban,"95.41"
Andhra,Pradesh,2007,Female,15-24,Rural,"61.98"
Andhra,Pradesh,2007,Female,25-34,Urban,"57.24"
Andhra,Pradesh,2007,Female,25-34,Rural,"74.47"
Andhra,Pradesh,2007,Female,35-44,Urban,"99.28"
Andhra,Pradesh,2007,Female,35-44,Rural,"62.1"
Andhra,Pradesh,2007,Female,45-54,Urban,"83.61"
Andhra,Pradesh,2007,Female,45-54,Rural,"88.08"
Andhra,Pradesh,2007,Female,55+,Urban,"61.88"
Andhra,Pradesh,2007,Female,55+,Rural,"86.41"
Andhra,Pradesh,2008,Male,15-24,Urban,"68.39"
Andhra,Pradesh,2008,Male,15-24,Rural,"81.62"
Andhra,Pradesh,2008,Male,25-34,Urban,"81.68"
Andhra,Pradesh,2008,Male,25-34,Rural,"76.79"
Andhra,Pradesh,2008,Male,35-44,Urban,"54.51"
Andhra,Pradesh,2008,Male,35-44,Rural,"91.77"
Andhra,Pradesh,2008,Male,45-54,Urban,"66.04"
Andhra,Pradesh,2008,Male,45-54,Rural,"59.33"
Andhra,Pradesh,2008,Male,55+,Urban,"52.04"
Andhra,Pradesh,2008,Male,55+,Rural,"79.54"
Andhra,Pradesh,2008,Female,15-24,Urban,"83.88"
Andhra,Pradesh,2008,Female,15-24,Rural,"50.83"
Andhra,Pradesh,2008,Female,25-34,Urban,"75.6"
Andhra,Pradesh,2008,Female,25-34,Rural,"61.32"
Andhra,Pradesh,2008,Female,35-44,Urban,"82.26"
Andhra,Pradesh,2008,Female,35-44,Rural,"58.72"
Andhra,Pradesh,2008,Female,45-54,Urban,"84.55"
Andhra,Pradesh,2008,Female,45-54,Rural,"69.34"
Andhra,Pradesh,2008,Female,55+,Urban,"96.84"
Andhra,Pradesh,2008,Female,55+,Rural,"56.88"
Andhra,Pradesh,2009,Male,15-24,Urban,"67.05"
Andhra,Pradesh,2009,Male,15-24,Rural,"55.67"
Andhra,Pradesh,2009,Male,25-34,Urban,"96.23"
Andhra,Pradesh,2009,Male,25-34,Rural,"93.87"
Andhra,Pradesh,2009,Male,35-44,Urban,"62.9"
Andhra,Pradesh,2009,Male,35-44,Rural,"83.0"
Andhra,Pradesh,2009,Male,45-54,Urban,"90.86"
Andhra,Pradesh,2009,Male,45-54,Rural,"77.76"
Andhra,Pradesh,2009,Male,55+,Urban,"76.48"
Andhra,Pradesh,2009,Male,55+,Rural,"62.09"
Andhra,Pradesh,2009,Female,15-24,Urban,"54.66"
Andhra,Pradesh,2009,Female,15-24,Rural,"94.86"
Andhra,Pradesh,2009,Female,25-34,Urban,"95.02"
Andhra,Pradesh,2009,Female,25-34,Rural,"81.66"
Andhra,Pradesh,2009,Female,35-44,Urban,"66.95"
Andhra,Pradesh,2009,Female,35-44,Rural,"67.46"
Andhra,Pradesh,2009,Female,45-54,Urban,"86.3"
Andhra,Pradesh,2009,Female,45-54,Rural,"94.86"
Andhra,Pradesh,2009,Female,55+,Urban,"94.35"
Andhra,Pradesh,2009,Female,55+,Rural,"88.99"
Andhra,Pradesh,2010,Male,15-24,Urban,"82.1"
Andhra,Pradesh,2010,Male,15-24,Rural,"54.21"
Andhra,Pradesh,2010,Male,25-34,Urban,"58.08"
Andhra,Pradesh,2010,Male,25-34,Rural,"94.93"
Andhra,Pradesh,2010,Male,35-44,Urban,"80.32"
Andhra,Pradesh,2010,Male,35-44,Rural,"50.46"
Andhra,Pradesh,2010,Male,45-54,Urban,"55.07"
Andhra,Pradesh,2010,Male,45-54,Rural,"83.18"
Andhra,Pradesh,2010,Male,55+,Urban,"50.25"
Andhra,Pradesh,2010,Male,55+,Rural,"58.04"
Andhra,Pradesh,2010,Female,15-24,Urban,"77.44"
Andhra,Pradesh,2010,Female,15-24,Rural,"84.59"
Andhra,Pradesh,2010,Female,25-34,Urban,"82.6"
Andhra,Pradesh,2010,Female,25-34,Rural,"61.21"
Andhra,Pradesh,2010,Female,35-44,Urban,"85.61"
Andhra,Pradesh,2010,Female,35-44,Rural,"61.86"
Andhra,Pradesh,2010,Female,45-54,Urban,"66.27"
Andhra,Pradesh,2010,Female,45-54,Rural,"87.32"
Andhra,Pradesh,2010,Female,55+,Urban,"82.48"
Andhra,Pradesh,2010,Female,55+,Rural,"92.46"
Andhra,Pradesh,2011,Male,15-24,Urban,"82.88"
Andhra,Pradesh,2011,Male,15-24,Rural,"78.42"
Andhra,Pradesh,2011,Male,25-34,Urban,"54.68"
Andhra,Pradesh,2011,Male,25-34,Rural,"68.39"
Andhra,Pradesh,2011,Male,35-44,Urban,"63.26"
Andhra,Pradesh,2011,Male,35-44,Rural,"62.2"
Andhra,Pradesh,2011,Male,45-54,Urban,"98.65"
Andhra,Pradesh,2011,Male,45-54,Rural,"69.65"
Andhra,Pradesh,2011,Male,55+,Urban,"94.6"
Andhra,Pradesh,2011,Male,55+,Rural,"81.56"
Andhra,Pradesh,2011,Female,15-24,Urban,"89.74"
Andhra,Pradesh,2011,Female,15-24,Rural,"75.13"
Andhra,Pradesh,2011,Female,25-34,Urban,"78.85"
Andhra,Pradesh,2011,Female,25-34,Rural,"74.63"
Andhra,Pradesh,2011,Female,35-44,Urban,"59.76"
Andhra,Pradesh,2011,Female,35-44,Rural,"86.12"
Andhra,Pradesh,2011,Female,45-54,Urban,"64.04"
Andhra,Pradesh,2011,Female,45-54,Rural,"51.22"
Andhra,Pradesh,2011,Female,55+,Urban,"82.27"
Andhra,Pradesh,2011,Female,55+,Rural,"58.86"
Andhra,Pradesh,2012,Male,15-24,Urban,"97.02"
Andhra,Pradesh,2012,Male,15-24,Rural,"97.7"
Andhra,Pradesh,2012,Male,25-34,Urban,"95.74"
Andhra,Pradesh,2012,Male,25-34,Rural,"68.51"
Andhra,Pradesh,2012,Male,35-44,Urban,"50.77"
Andhra,Pradesh,2012,Male,35-44,Rural,"96.42"
Andhra,Pradesh,2012,Male,45-54,Urban,"71.41"
Andhra,Pradesh,2012,Male,45-54,Rural,"98.33"
Andhra,Pradesh,2012,Male,55+,Urban,"98.18"
Andhra,Pradesh,2012,Male,55+,Rural,"92.65"
Andhra,Pradesh,2012,Female,15-24,Urban,"64.72"
Andhra,Pradesh,2012,Female,15-24,Rural,"69.25"
Andhra,Pradesh,2012,Female,25-34,Urban,"92.56"
Andhra,Pradesh,2012,Female,25-34,Rural,"65.85"
Andhra,Pradesh,2012,Female,35-44,Urban,"58.47"
Andhra,Pradesh,2012,Female,35-44,Rural,"77.84"
Andhra,Pradesh,2012,Female,45-54,Urban,"96.81"
Andhra,Pradesh,2012,Female,45-54,Rural,"84.8"
Andhra,Pradesh,2012,Female,55+,Urban,"78.5"
Andhra,Pradesh,2012,Female,55+,Rural,"54.86"
Andhra,Pradesh,2013,Male,15-24,Urban,"80.75"
Andhra,Pradesh,2013,Male,15-24,Rural,"99.5"
Andhra,Pradesh,2013,Male,25-34,Urban,"57.0"
Andhra,Pradesh,2013,Male,25-34,Rural,"75.92"
Andhra,Pradesh,2013,Male,35-44,Urban,"93.87"
Andhra,Pradesh,2013,Male,35-44,Rural,"87.04"
Andhra,Pradesh,2013,Male,45-54,Urban,"84.85"
Andhra,Pradesh,2013,Male,45-54,Rural,"85.12"
Andhra,Pradesh,2013,Male,55+,Urban,"67.97"
Andhra,Pradesh,2013,Male,55+,Rural,"64.68"
Andhra,Pradesh,2013,Female,15-24,Urban,"90.47"
Andhra,Pradesh,2013,Female,15-24,Rural,"90.51"
Andhra,Pradesh,2013,Female,25-34,Urban,"93.35"
Andhra,Pradesh,2013,Female,25-34,Rural,"95.66"
Andhra,Pradesh,2013,Female,35-44,Urban,"75.57"
Andhra,Pradesh,2013,Female,35-44,Rural,"75.08"
Andhra,Pradesh,2013,Female,45-54,Urban,"89.91"
Andhra,Pradesh,2013,Female,45-54,Rural,"82.5"
Andhra,Pradesh,2013,Female,55+,Urban,"85.1"
Andhra,Pradesh,2013,Female,55+,Rural,"89.79"
Andhra,Pradesh,2014,Male,15-24,Urban,"94.5"
Andhra,Pradesh,2014,Male,15-24,Rural,"66.9"
Andhra,Pradesh,2014,Male,25-34,Urban,"68.78"
Andhra,Pradesh,2014,Male,25-34,Rural,"54.7"
Andhra,Pradesh,2014,Male,35-44,Urban,"78.91"
Andhra,Pradesh,2014,Male,35-44,Rural,"51.8"
Andhra,Pradesh,2014,Male,45-54,Urban,"73.28"
Andhra,Pradesh,2014,Male,45-54,Rural,"77.13"
Andhra,Pradesh,2014,Male,55+,Urban,"64.33"
Andhra,Pradesh,2014,Male,55+,Rural,"79.54"
Andhra,Pradesh,2014,Female,15-24,Urban,"51.53"
Andhra,Pradesh,2014,Female,15-24,Rural,"51.87"
Andhra,Pradesh,2014,Female,25-34,Urban,"91.13"
Andhra,Pradesh,2014,Female,25-34,Rural,"68.01"
Andhra,Pradesh,2014,Female,35-44,Urban,"56.35"
Andhra,Pradesh,2014,Female,35-44,Rural,"76.11"
Andhra,Pradesh,2014,Female,45-54,Urban,"88.5"
Andhra,Pradesh,2014,Female,45-54,Rural,"60.79"
Andhra,Pradesh,2014,Female,55+,Urban,"81.14"
Andhra,Pradesh,2014,Female,55+,Rural,"54.27"
Andhra,Pradesh,2015,Male,15-24,Urban,"52.58"
Andhra,Pradesh,2015,Male,15-24,Rural,"76.57"
Andhra,Pradesh,2015,Male,25-34,Urban,"77.03"
Andhra,Pradesh,2015,Male,25-34,Rural,"81.87"
Andhra,Pradesh,2015,Male,35-44,Urban,"86.3"
Andhra,Pradesh,2015,Male,35-44,Rural,"98.79"
Andhra,Pradesh,2015,Male,45-54,Urban,"75.82"
Andhra,Pradesh,2015,Male,45-54,Rural,"66.15"
Andhra,Pradesh,2015,Male,55+,Urban,"89.76"
Andhra,Pradesh,2015,Male,55+,Rural,"63.54"
Andhra,Pradesh,2015,Female,15-24,Urban,"71.95"
Andhra,Pradesh,2015,Female,15-24,Rural,"53.92"
Andhra,Pradesh,2015,Female,25-34,Urban,"51.27"
Andhra,Pradesh,2015,Female,25-34,Rural,"98.13"
Andhra,Pradesh,2015,Female,35-44,Urban,"91.8"
Andhra,Pradesh,2015,Female,35-44,Rural,"84.8"
Andhra,Pradesh,2015,Female,45-54,Urban,"70.45"
Andhra,Pradesh,2015,Female,45-54,Rural,"58.66"
Andhra,Pradesh,2015,Female,55+,Urban,"57.82"
Andhra,Pradesh,2015,Female,55+,Rural,"62.51"
Andhra,Pradesh,2016,Male,15-24,Urban,"77.46"
Andhra,Pradesh,2016,Male,15-24,Rural,"85.73"
Andhra,Pradesh,2016,Male,25-34,Urban,"83.01"
Andhra,Pradesh,2016,Male,25-34,Rural,"64.0"
Andhra,Pradesh,2016,Male,35-44,Urban,"97.74"
Andhra,Pradesh,2016,Male,35-44,Rural,"86.89"
Andhra,Pradesh,2016,Male,45-54,Urban,"77.72"
Andhra,Pradesh,2016,Male,45-54,Rural,"80.59"
Andhra,Pradesh,2016,Male,55+,Urban,"70.98"
Andhra,Pradesh,2016,Male,55+,Rural,"62.39"
Andhra,Pradesh,2016,Female,15-24,Urban,"67.8"
Andhra,Pradesh,2016,Female,15-24,Rural,"87.89"
Andhra,Pradesh,2016,Female,25-34,Urban,"50.72"
Andhra,Pradesh,2016,Female,25-34,Rural,"55.8"
Andhra,Pradesh,2016,Female,35-44,Urban,"52.3"
Andhra,Pradesh,2016,Female,35-44,Rural,"52.04"
Andhra,Pradesh,2016,Female,45-54,Urban,"92.77"
Andhra,Pradesh,2016,Female,45-54,Rural,"85.18"
Andhra,Pradesh,2016,Female,55+,Urban,"73.71"
Andhra,Pradesh,2016,Female,55+,Rural,"54.89"
Andhra,Pradesh,2017,Male,15-24,Urban,"74.58"
Andhra,Pradesh,2017,Male,15-24,Rural,"73.67"
Andhra,Pradesh,2017,Male,25-34,Urban,"58.66"
Andhra,Pradesh,2017,Male,25-34,Rural,"71.69"
Andhra,Pradesh,2017,Male,35-44,Urban,"69.93"
Andhra,Pradesh,2017,Male,35-44,Rural,"80.79"
Andhra,Pradesh,2017,Male,45-54,Urban,"81.75"
Andhra,Pradesh,2017,Male,45-54,Rural,"52.27"
Andhra,Pradesh,2017,Male,55+,Urban,"68.73"
Andhra,Pradesh,2017,Male,55+,Rural,"81.29"
Andhra,Pradesh,2017,Female,15-24,Urban,"75.16"
Andhra,Pradesh,2017,Female,15-24,Rural,"92.82"
Andhra,Pradesh,2017,Female,25-34,Urban,"82.93"
Andhra,Pradesh,2017,Female,25-34,Rural,"58.15"
Andhra,Pradesh,2017,Female,35-44,Urban,"53.53"
Andhra,Pradesh,2017,Female,35-44,Rural,"82.12"
Andhra,Pradesh,2017,Female,45-54,Urban,"51.33"
Andhra,Pradesh,2017,Female,45-54,Rural,"79.29"
Andhra,Pradesh,2017,Female,55+,Urban,"97.01"
Andhra,Pradesh,2017,Female,55+,Rural,"78.77"
Andhra,Pradesh,2018,Male,15-24,Urban,"69.41"
Andhra,Pradesh,2018,Male,15-24,Rural,"82.16"
Andhra,Pradesh,2018,Male,25-34,Urban,"72.91"
Andhra,Pradesh,2018,Male,25-34,Rural,"77.28"
Andhra,Pradesh,2018,Male,35-44,Urban,"97.07"
Andhra,Pradesh,2018,Male,35-44,Rural,"69.31"
Andhra,Pradesh,2018,Male,45-54,Urban,"98.06"
Andhra,Pradesh,2018,Male,45-54,Rural,"95.27"
Andhra,Pradesh,2018,Male,55+,Urban,"59.79"
Andhra,Pradesh,2018,Male,55+,Rural,"53.47"
Andhra,Pradesh,2018,Female,15-24,Urban,"55.04"
Andhra,Pradesh,2018,Female,15-24,Rural,"50.91"
Andhra,Pradesh,2018,Female,25-34,Urban,"54.72"
Andhra,Pradesh,2018,Female,25-34,Rural,"84.15"
Andhra,Pradesh,2018,Female,35-44,Urban,"53.56"
Andhra,Pradesh,2018,Female,35-44,Rural,"65.95"
Andhra,Pradesh,2018,Female,45-54,Urban,"92.24"
Andhra,Pradesh,2018,Female,45-54,Rural,"51.16"
Andhra,Pradesh,2018,Female,55+,Urban,"90.72"
Andhra,Pradesh,2018,Female,55+,Rural,"64.09"
Andhra,Pradesh,2019,Male,15-24,Urban,"55.91"
Andhra,Pradesh,2019,Male,15-24,Rural,"84.84"
Andhra,Pradesh,2019,Male,25-34,Urban,"81.45"
Andhra,Pradesh,2019,Male,25-34,Rural,"93.87"
Andhra,Pradesh,2019,Male,35-44,Urban,"86.75"
Andhra,Pradesh,2019,Male,35-44,Rural,"90.17"
Andhra,Pradesh,2019,Male,45-54,Urban,"64.1"
Andhra,Pradesh,2019,Male,45-54,Rural,"58.87"
Andhra,Pradesh,2019,Male,55+,Urban,"87.53"
Andhra,Pradesh,2019,Male,55+,Rural,"90.34"
Andhra,Pradesh,2019,Female,15-24,Urban,"99.53"
Andhra,Pradesh,2019,Female,15-24,Rural,"70.63"
Andhra,Pradesh,2019,Female,25-34,Urban,"68.6"
Andhra,Pradesh,2019,Female,25-34,Rural,"88.82"
Andhra,Pradesh,2019,Female,35-44,Urban,"67.04"
Andhra,Pradesh,2019,Female,35-44,Rural,"96.54"
Andhra,Pradesh,2019,Female,45-54,Urban,"92.92"
Andhra,Pradesh,2019,Female,45-54,Rural,"71.45"
Andhra,Pradesh,2019,Female,55+,Urban,"87.54"
Andhra,Pradesh,2019,Female,55+,Rural,"87.73"
Andhra,Pradesh,2020,Male,15-24,Urban,"55.16"
Andhra,Pradesh,2020,Male,15-24,Rural,"95.13"
Andhra,Pradesh,2020,Male,25-34,Urban,"75.26"
Andhra,Pradesh,2020,Male,25-34,Rural,"91.32"
Andhra,Pradesh,2020,Male,35-44,Urban,"66.0"
Andhra,Pradesh,2020,Male,35-44,Rural,"94.78"
Andhra,Pradesh,2020,Male,45-54,Urban,"69.46"
Andhra,Pradesh,2020,Male,45-54,Rural,"50.54"
Andhra,Pradesh,2020,Male,55+,Urban,"95.27"
Andhra,Pradesh,2020,Male,55+,Rural,"54.56"
Andhra,Pradesh,2020,Female,15-24,Urban,"65.97"
Andhra,Pradesh,2020,Female,15-24,Rural,"97.5"
Andhra,Pradesh,2020,Female,25-34,Urban,"97.53"
Andhra,Pradesh,2020,Female,25-34,Rural,"78.67"
Andhra,Pradesh,2020,Female,35-44,Urban,"81.59"
Andhra,Pradesh,2020,Female,35-44,Rural,"72.42"
Andhra,Pradesh,2020,Female,45-54,Urban,"64.66"
Andhra,Pradesh,2020,Female,45-54,Rural,"66.43"
Andhra,Pradesh,2020,Female,55+,Urban,"83.63"
Andhra,Pradesh,2020,Female,55+,Rural,"87.62"
Andhra,Pradesh,2021,Male,15-24,Urban,"89.58"
Andhra,Pradesh,2021,Male,15-24,Rural,"89.48"
Andhra,Pradesh,2021,Male,25-34,Urban,"54.56"
Andhra,Pradesh,2021,Male,25-34,Rural,"74.72"
Andhra,Pradesh,2021,Male,35-44,Urban,"52.88"
Andhra,Pradesh,2021,Male,35-44,Rural,"77.48"
Andhra,Pradesh,2021,Male,45-54,Urban,"72.08"
Andhra,Pradesh,2021,Male,45-54,Rural,"94.39"
Andhra,Pradesh,2021,Male,55+,Urban,"67.55"
Andhra,Pradesh,2021,Male,55+,Rural,"55.85"
Andhra,Pradesh,2021,Female,15-24,Urban,"57.15"
Andhra,Pradesh,2021,Female,15-24,Rural,"88.08"
Andhra,Pradesh,2021,Female,25-34,Urban,"80.91"
Andhra,Pradesh,2021,Female,25-34,Rural,"55.06"
Andhra,Pradesh,2021,Female,35-44,Urban,"54.21"
Andhra,Pradesh,2021,Female,35-44,Rural,"85.05"
Andhra,Pradesh,2021,Female,45-54,Urban,"53.64"
Andhra,Pradesh,2021,Female,45-54,Rural,"91.09"
Andhra,Pradesh,2021,Female,55+,Urban,"85.31"
Andhra,Pradesh,2021,Female,55+,Rural,"54.07"
Andhra,Pradesh,2022,Male,15-24,Urban,"54.24"
Andhra,Pradesh,2022,Male,15-24,Rural,"99.33"
Andhra,Pradesh,2022,Male,25-34,Urban,"68.71"
Andhra,Pradesh,2022,Male,25-34,Rural,"68.53"
Andhra,Pradesh,2022,Male,35-44,Urban,"90.64"
Andhra,Pradesh,2022,Male,35-44,Rural,"97.36"
Andhra,Pradesh,2022,Male,45-54,Urban,"99.3"
Andhra,Pradesh,2022,Male,45-54,Rural,"87.67"
Andhra,Pradesh,2022,Male,55+,Urban,"68.81"
Andhra,Pradesh,2022,Male,55+,Rural,"54.18"
Andhra,Pradesh,2022,Female,15-24,Urban,"88.86"
Andhra,Pradesh,2022,Female,15-24,Rural,"77.92"
